codigo_ocorrencia,classificacao,tipo,tipo_categoria,tipo_icao,latitude,longitude,cidade,ocorrencia_uf,ocorrencia_pais,aerodromo,data,status,relatorio_numero,divulgacao_relatorio_publicado,total_recomendacoes,aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201305055424986,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-9.9085,-63.0333,Ariquemes,RO,BRASIL,SJOG,2013-05-05 11:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201605160250139,Incidente Grave,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-11.2644,-61.2589,Cacoal,RO,BRASIL,SSKW,2016-05-13 19:19:00,Ativa,IG-084/CENIPA/2016,NÃO,0,1,NÃO,2018-08-28
201805021421302,Incidente,Aeródromo,Aeródromo,ADRM,-11.4956,-61.4508,Cacoal,RO,BRASIL,SSKW,2018-03-09 22:40:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201311259977425,Incidente Grave,Pouso Sem Trem,Contato Anormal Com A Pista,ARC,-11.4956,-61.4508,Cacoal,RO,BRASIL,SSKW,2013-11-25 12:32:00,Finalizada,IG-209/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201103187273112,Incidente,Outros,Outros,OTHR,-13.195,-60.8184,Cerejeiras,RO,BRASIL,****,2011-03-18 13:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200808073991179,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,-9.1194,-68.5978,Cerejeiras,RO,BRASIL,****,2008-08-07 15:10:00,Finalizada,A - 517/CENIPA/2016,SIM,0,1,SIM,2018-08-28
201108118145873,Acidente,Pouso Longo,Excursão De Pista,RE,3.7119,-64.1625,Amajari,RR,BRASIL,****,2011-08-11 17:00:00,Finalizada,A-105/CENIPA/2012,SIM,4,1,NÃO,2018-08-28
201604251335501,Incidente Grave,Tráfego Aéreo,Colisao Decolagem/Pouso,MAC,3.5544,-61.8694,Amajari,RR,BRASIL,****,2016-02-24 05:48:00,Ativa,IG-069/CENIPA/2016,NÃO,0,2,NÃO,2018-08-28
201604062021424,Acidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,3.7633,-62.4094,Amajari,RR,BRASIL,SWAQ,2016-04-05 16:05:00,Finalizada,A-063/CENIPA/2016,SIM,2,1,SIM,2018-08-28
200902274965349,Incidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,3.6521,-61.4206,Amajari,RR,BRASIL,****,2009-02-27 16:30:00,Finalizada,***,NÃO,0,1,SIM,2018-08-28
200912289948837,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-31.6261,-54.2125,Aceguá,RS,BRASIL,****,2009-12-28 17:30:00,Ativa,A-512/CENIPA/2018,NÃO,0,1,NÃO,2018-08-28
201211159478138,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-16.7588,-49.4405,Abadia De Goiás,GO,BRASIL,****,2012-11-15 12:40:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201208018273083,Acidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-2.6758,-63.7469,Alto Alegre,RR,BRASIL,****,2012-08-01 16:20:00,Finalizada,A-130/CENIPA/2013,SIM,1,1,NÃO,2018-08-28
201106206058374,Incidente,Perda De Controle No Solo,Perda De Controle No Solo,LOC-G,2.9938,-61.31399999999999,Alto Alegre,RR,BRASIL,****,2011-06-20 14:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200811167138358,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,2.81,-61.3831,Alto Alegre,RR,BRASIL,****,2008-11-16 12:25:00,Finalizada,A-566/CENIPA/2015,SIM,3,1,NÃO,2018-08-28
201111224132085,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,0.7394,-62.0214,Alto Alegre,RR,BRASIL,****,2011-11-22 16:40:00,Finalizada,A-038/CENIPA/2013,SIM,2,1,NÃO,2018-08-28
201009213278405,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,2.8375,-63.6417,Alto Alegre,RR,BRASIL,****,2010-09-21 17:10:00,Finalizada,A-044/CENIPA/2012,SIM,2,1,NÃO,2018-08-28
201006099196125,Acidente,Indeterminado,Indeterminado,UNK,2.9938,-61.31399999999999,Alto Alegre,RR,BRASIL,****,2010-06-09 13:00:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201104061447671,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,2.8106,-62.0408,Alto Alegre,RR,BRASIL,****,2011-04-06 20:25:00,Finalizada,A-025/CENIPA/2013,SIM,2,1,NÃO,2018-08-28
201407101908656,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,2.9938,-61.31399999999999,Alto Alegre,RR,BRASIL,SWUQ,2014-07-10 14:15:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201609191241236,Acidente,Perda De Controle Em Voo,Perda De Controle Em Voo,LOC-I,-3.5111,-61.7181,Anamã,AM,BRASIL,****,2016-09-16 19:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201207125348634,Acidente,Voo Controlado Contra O Terreno,Voo Controlado Contra O Terreno,CFIT,-23.0222,-44.2806,Angra Dos Reis,RJ,BRASIL,****,2012-07-12 20:15:00,Finalizada,A-521/CENIPA/2016,SIM,1,1,NÃO,2018-08-28
200910129260596,Acidente,Excursão De Pista,Excursão De Pista,RE,-22.9753,-44.3072,Angra Dos Reis,RJ,BRASIL,SDAG,2009-10-12 16:10:00,Finalizada,A-539/CENIPA/2015,SIM,1,1,SIM,2018-08-28
201509183338691,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-23.0061,-44.3025,Angra Dos Reis,RJ,BRASIL,****,2015-09-18 13:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201212272090341,Acidente,Pouso Brusco,Contato Anormal Com A Pista,ARC,-23.0091,-44.3196,Angra Dos Reis,RJ,BRASIL,SDMC,2012-12-27 16:03:00,Finalizada,A-161/CENIPA/2013,SIM,0,1,NÃO,2018-08-28
201208318138992,Acidente,Outros,Outros,OTHR,-23.0091,-44.3196,Angra Dos Reis,RJ,BRASIL,****,2012-08-31 18:40:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201102052791822,Incidente,Tráfego Aéreo,Colisao Decolagem/Pouso,MAC,-23.0091,-44.3196,Angra Dos Reis,RJ,BRASIL,****,2011-02-05 12:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201604271828141,Incidente Grave,Pouso Sem Trem,Contato Anormal Com A Pista,ARC,-22.9753,-44.3072,Angra Dos Reis,RJ,BRASIL,SDAG,2016-04-21 16:45:00,Ativa,IG-075/CENIPA/2016,NÃO,0,1,NÃO,2018-08-28
200801159627220,Acidente,Outros,Outros,OTHR,-23.0036,-44.2992,Angra Dos Reis,RJ,BRASIL,SJXY,2008-01-15 11:41:00,Finalizada,A-025/CENIPA/2010,SIM,3,1,NÃO,2018-08-28
201604281742226,Incidente,Com Trem De Pouso,Problema Sistema,SCF-NP,22.9753,-44.3072,Angra Dos Reis,RJ,BRASIL,SDAG,2016-04-21 19:50:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201408227604299,Acidente,Causado Por Fenômeno Meteorológico Em Voo,Outros,OTHR,-23.0091,-44.3196,Angra Dos Reis,RJ,BRASIL,SDAG,2014-08-22 14:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200906128607729,Acidente,Incursão Em Pista,Incursão Em Pista,RI,-23.0486,-44.3475,Angra Dos Reis,RJ,BRASIL,****,2009-06-12 14:50:00,Ativa,A-527/CENIPA/2017,NÃO,0,1,NÃO,2018-08-28
201609131430542,Acidente,Excursão De Pista,Excursão De Pista,RE,-22.9753,-44.3072,Angra Dos Reis,RJ,BRASIL,SDAG,2016-09-10 14:10:00,Ativa,A-117/CENIPA/2016,NÃO,0,1,SIM,2018-08-28
201806151358172,Incidente,Vazamento De Outros Fluidos,Outros,OTHR,-23.0361,-44.3428,Angra Dos Reis,RJ,BRASIL,****,2018-05-21 12:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201407141681337,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,-23.0091,-44.3196,Angra Dos Reis,RJ,BRASIL,SDAG,2014-07-14 19:25:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201102203023021,Incidente Grave,Com Rotor,Problema Motor,SCF-PP,-22.9978,-44.2497,Angra Dos Reis,RJ,BRASIL,****,2011-02-20 21:20:00,Ativa,A DEFINIR,NÃO,0,1,NÃO,2018-08-28
201508159929510,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,2.9081,-60.4817,Boa Vista,RR,BRASIL,****,2015-08-15 14:00:00,Finalizada,A-113/CENIPA/2015,SIM,0,1,NÃO,2018-08-28
201105165154118,Incidente,Estouro De Pneu,Problema Sistema,SCF-NP,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2011-05-16 17:42:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201310055119546,Incidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,2.8167,-60.6705,Boa Vista,RR,BRASIL,****,2013-10-05 18:30:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201110231217982,Incidente,Causado Por Fenômeno Meteorológico Em Voo,Outros,OTHR,2.8167,-60.6705,Boa Vista,RR,BRASIL,****,2011-10-23 18:03:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200909251799064,Incidente,Falha Ou Mau Funcionamento De Sistema / Componente ,Falha Ou Mau Funcionamento De Sistema / Componente ,SCF-NP,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2009-09-25 19:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201304154740415,Incidente,Causado Por Fenômeno Meteorológico Em Voo,Outros,OTHR,2.8167,-60.6705,Boa Vista,RR,BRASIL,****,2013-04-15 17:55:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201009014590067,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,2.8414,-60.6922,Boa Vista,RR,BRASIL,SBBV,2010-09-01 13:30:00,Finalizada,A-134/CENIPA/2011,SIM,4,1,NÃO,2018-08-28
201209141796176,Incidente,Falha Ou Mau Funcionamento De Sistema / Componente ,Falha Ou Mau Funcionamento De Sistema / Componente ,SCF-NP,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2012-09-14 15:15:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201501292823312,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-2.9378,-60.7192,Boa Vista,RR,BRASIL,****,2015-01-29 20:30:00,Finalizada,A-014/CENIPA/2015,SIM,0,1,NÃO,2018-08-28
201212273864973,Incidente,Vazamento De Outros Fluidos,Outros,OTHR,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2012-12-27 17:25:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200808272648966,Acidente,Perda De Componente Em Voo,Problema Sistema,SCF-NP,-2.6069,-63.8694,Boa Vista,RR,BRASIL,SBBV,2008-08-27 22:20:00,Finalizada,A-045/CENIPA/2012,SIM,2,1,NÃO,2018-08-28
201209264932342,Incidente,Falha Ou Mau Funcionamento De Sistema / Componente ,Falha Ou Mau Funcionamento De Sistema / Componente ,SCF-NP,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2012-09-26 10:00:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201604201642115,Acidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,2.6956,-60.8142,Boa Vista,RR,BRASIL,****,2016-04-19 10:08:00,Finalizada,A-072/CENIPA/2016,SIM,1,1,NÃO,2018-08-28
201207171533514,Incidente,Sopro De Reator,Outros,OTHR,2.8167,-60.6705,Boa Vista,RR,BRASIL,SBBV,2012-07-17 12:20:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201105236654663,Acidente,Com Para-Brisas / Janela / Porta,Problema Sistema,SCF-NP,2.6956,-60.8142,Boa Vista,RR,BRASIL,****,2011-05-23 10:50:00,Finalizada,A-044/CENIPA/2013,SIM,3,1,NÃO,2018-08-28
201505081529330,Acidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-19.9783,-41.08,Afonso Cláudio,ES,BRASIL,****,2015-05-08 11:27:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201012113981199,Incidente Grave,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-9.3019,-37.8769,Água Branca,AL,BRASIL,****,2010-12-11 11:00:00,Ativa,IG-583/CENIPA/2016,NÃO,0,1,NÃO,2018-08-28
200901078078550,Incidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-3.7454,-61.659,Anori,AM,BRASIL,****,2009-01-07 16:45:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200806139544442,Incidente,Colisão Com Obstáculo Durante A Decolagem E Pouso,Colisao Decolagem/Pouso,CTOL,-3.7454,-61.659,Anori,AM,BRASIL,****,2008-06-13 14:09:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200905218704582,Incidente,Falha Do Motor Em Voo,Problema Motor,SCF-PP,-21.6883,-51.0734,Adamantina,SP,BRASIL,****,2009-05-21 10:33:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201410043195984,Incidente,Com Lançamento De Carga,Outros,OTHR,-15.7941,-47.8879,Brasília,DF,BRASIL,SBBR,2014-10-04 18:10:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
200901125918921,Incidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-15.7941,-47.8879,Brasília,DF,BRASIL,SBBR,2009-01-12 15:10:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
201302225833590,Incidente,Com Trem De Pouso,Problema Sistema,SCF-NP,-15.7941,-47.8879,Brasília,DF,BRASIL,SBBR,2013-02-22 19:05:00,Finalizada,***,NÃO,0,1,NÃO,2018-08-28
